ADDRESS,SALE PRICE,SALE DATE,AREA,STRATA/NON STRATA,MULTI-PROPERTY SALE (Y/N),PROPERTY NUMBER,DEALING NUMBER,EXTRACTION DATE
"34 ALEXANDER STREET, ALEXANDRIA NSW 2015","1285000","16 March 2016","88.53","NON STRATA","No",2106326,"AK410905","23 April 2017"
"34 ALEXANDER STREET, ALEXANDRIA NSW 2015","935000","27 September 2013","88.53","NON STRATA","No",2106326,"AI144243","23 April 2017"
"36 ALEXANDER STREET, ALEXANDRIA NSW 2015","885000","8 July 2013","88.5","NON STRATA","No",2106327,"AI8960","23 April 2017"
"54 ALEXANDER STREET, ALEXANDRIA NSW 2015","1200000","21 June 2016","94.85","NON STRATA","No",2106336,"AK705611","23 April 2017"
"54 ALEXANDER STREET, ALEXANDRIA NSW 2015","795000","31 August 2012","94.85","NON STRATA","No",2106336,"AH317878","23 April 2017"
"56 ALEXANDER STREET, ALEXANDRIA NSW 2015","825000","19 June 2014","99.12","NON STRATA","No",2106337,"AI792248","23 April 2017"
"58 ALEXANDER STREET, ALEXANDRIA NSW 2015","1460000","12 March 2016","98.3","NON STRATA","No",2106338,"AK414865","23 April 2017"
"60 ALEXANDER STREET, ALEXANDRIA NSW 2015","952000","14 December 2015","97.1","NON STRATA","No",2106339,"AK346366","23 April 2017"
"4/64 ALEXANDER STREET, ALEXANDRIA NSW 2015","290000","20 December 2013","0","STRATA","No","2106345","AI371313","23 April 2017"
"4/64 ALEXANDER STREET, ALEXANDRIA NSW 2015","248000","25 July 2012","0","STRATA","No","2106345","AH238405","23 April 2017"
"59 ALEXANDER STREET, ALEXANDRIA NSW 2015","930000","26 March 2014","145.7","NON STRATA","No",2106349,"AI600463","23 April 2017"
"55 ALEXANDER STREET, ALEXANDRIA NSW 2015","1680000","23 May 2015","147","NON STRATA","No",2106351,"AJ674593","23 April 2017"
"45 ALEXANDER STREET, ALEXANDRIA NSW 2015","937500","1 August 2015","101.66","NON STRATA","No",2106356,"AJ839735","23 April 2017"
"9 ANDERSON STREET, ALEXANDRIA NSW 2015","1638000","6 December 2014","154.1","NON STRATA","No",2106464,"AJ206543","23 April 2017"
"64 ANDERSON STREET, ALEXANDRIA NSW 2015","1300000","1 August 2015","124.6","NON STRATA","No",2106467,"AJ840874","23 April 2017"
"19A ANDERSON STREET, ALEXANDRIA NSW 2015","1370000","16 May 2015","118.3","NON STRATA","No",2106472,"AJ583846","23 April 2017"
"21 ANDERSON STREET, ALEXANDRIA NSW 2015","780000","20 August 2012","157","NON STRATA","No",2106473,"AH542567","23 April 2017"
"35 ANDERSON STREET, ALEXANDRIA NSW 2015","1480000","25 February 2017","0","STRATA","No","2106481","AM262692","23 April 2017"
"33 ANDERSON STREET, ALEXANDRIA NSW 2015","1310000","12 November 2015","0","STRATA","No","2106480","AK160538","23 April 2017"
"31 ANDERSON STREET, ALEXANDRIA NSW 2015","1000000","24 October 2013","0","STRATA","No","2106479","AI341857","23 April 2017"
"32 ANDERSON STREET, ALEXANDRIA NSW 2015","1120000","31 August 2012","122.4","NON STRATA","No",2106494,"AH330350","23 April 2017"
"30 ANDERSON STREET, ALEXANDRIA NSW 2015","1000000","6 December 2014","120.1","NON STRATA","No",2106495,"AJ211143","23 April 2017"
"26 ANDERSON STREET, ALEXANDRIA NSW 2015","645000","15 December 2012","94.8","NON STRATA","No",2106497,"AH570959","23 April 2017"
"18 ANDERSON STREET, ALEXANDRIA NSW 2015","700000","30 May 2013","82.2","NON STRATA","No",2106501,"AH913289","23 April 2017"
"16 ANDERSON STREET, ALEXANDRIA NSW 2015","310000","14 May 2015","88.5","NON STRATA","No",2106502,"AJ609904","23 April 2017"
"16 ANDERSON STREET, ALEXANDRIA NSW 2015","310000","22 April 2015","88.5","NON STRATA","No",2106502,"AJ609905","23 April 2017"
"12 ANDERSON STREET, ALEXANDRIA NSW 2015","910000","16 April 2014","94.5","NON STRATA","No",2106504,"AI653867","23 April 2017"
"12 ANDERSON STREET, ALEXANDRIA NSW 2015","826000","11 October 2012","94.5","NON STRATA","No",2106504,"AH452476","23 April 2017"
"13/30 BEACONSFIELD STREET, ALEXANDRIA NSW 2015","850000","28 August 2014","0","STRATA","No","2108102","AJ57855","23 April 2017"
"18/30 BEACONSFIELD STREET, ALEXANDRIA NSW 2015","400000","28 May 2014","0","STRATA","No","2108107","AI629450","23 April 2017"
"9/30 BEACONSFIELD STREET, ALEXANDRIA NSW 2015","815000","11 March 2014","0","STRATA","No","2108098","AI601872","23 April 2017"
"19/30 BEACONSFIELD STREET, ALEXANDRIA NSW 2015","800000","10 January 2014","0","STRATA","No","2108108","AI445240","23 April 2017"
